context,question,answer_start,answer_text,language
"कॉलेज ऑफ इंजीनियरिंग की स्थापना 1920 में हुई थी, हालांकि, नागरिक और मैकेनिकल इंजीनियरिंग में शुरुआती पाठ्यक्रम 1870 के दशक से कॉलेज ऑफ साइंस का हिस्सा थे। आज कॉलेज, फिट्जपैट्रिक, कुशिंग और इंजीनियरिंग के स्टिंसन-रीमिक हॉल में रखने वाले कॉलेज में अध्ययन के पांच विभाग शामिल हैं - एयरोस्पेस और मैकेनिकल इंजीनियरिंग, रसायन और जैव-विषुव इंजीनियरिंग, सिविल इंजीनियरिंग और भूवैज्ञानिक विज्ञान, कंप्यूटर विज्ञान और इंजीनियरिंग, और इलेक्ट्रिकल इंजीनियरिंग -आठ बी के साथ। डिग्री की पेशकश की। इसके अतिरिक्त, कॉलेज कला और अक्षरों के कॉलेजों और अतिरिक्त बी के कॉलेजों के साथ पांच साल के दोहरी डिग्री प्रोग्राम प्रदान करता है। और मास्टर ऑफ बिज़नस एडमिनिस्ट्रेशन (एमबीए) डिग्री, क्रमशः।",कॉलेज ऑफ साइंस ने डेम डेम में किस समय से शुरू होने वाले सिविल इंजीनियरिंग पाठ्यक्रम की पेशकश की?,113,1870 के दशक,hindi
"सभी नोट्रे डेम के स्नातक छात्र स्कूल में पांच अंडरग्रेजुएट कॉलेजों में से एक का हिस्सा हैं या अध्ययन कार्यक्रम के पहले वर्ष में हैं। अध्ययन कार्यक्रम का पहला वर्ष 1962 में स्थापित किया गया था ताकि वे एक प्रमुख घोषित करने से पहले स्कूल में अपने पहले वर्ष में आने वाले नए लोगों को मार्गदर्शन करने के लिए स्थापित किया गया था। प्रत्येक छात्र को उस कार्यक्रम से एक अकादमिक सलाहकार दिया जाता है जो उन्हें कक्षाओं को चुनने में मदद करता है जो उन्हें किसी भी प्रमुख के संपर्क में रखते हैं जिसमें वे रुचि रखते हैं। इस कार्यक्रम में एक लर्निंग रिसोर्स सेंटर भी शामिल है जो समय प्रबंधन, सहयोगी सीखने, और विषय ट्यूशन प्रदान करता है। इस कार्यक्रम को पहले पहचाना गया है, यू द्वारा। समाचार और विश्व रिपोर्ट, उत्कृष्ट के रूप में।",पहले वर्ष के छात्रों की सहायता के लिए 1962 में नोट्रे डेम में क्या बनाया गया था?,133,अध्ययन कार्यक्रम का पहला वर्ष,hindi
"सभी नोट्रे डेम के स्नातक छात्र स्कूल में पांच अंडरग्रेजुएट कॉलेजों में से एक का हिस्सा हैं या अध्ययन कार्यक्रम के पहले वर्ष में हैं। अध्ययन कार्यक्रम का पहला वर्ष 1962 में स्थापित किया गया था ताकि वे एक प्रमुख घोषित करने से पहले स्कूल में अपने पहले वर्ष में आने वाले नए लोगों को मार्गदर्शन करने के लिए स्थापित किया गया था। प्रत्येक छात्र को उस कार्यक्रम से एक अकादमिक सलाहकार दिया जाता है जो उन्हें कक्षाओं को चुनने में मदद करता है जो उन्हें किसी भी प्रमुख के संपर्क में रखते हैं जिसमें वे रुचि रखते हैं। इस कार्यक्रम में एक लर्निंग रिसोर्स सेंटर भी शामिल है जो समय प्रबंधन, सहयोगी सीखने, और विषय ट्यूशन प्रदान करता है। इस कार्यक्रम को पहले पहचाना गया है, यू द्वारा। समाचार और विश्व रिपोर्ट, उत्कृष्ट के रूप में।",किस संगठन ने नोट्रे डेम "बकाया में अध्ययन कार्यक्रम का पहला वर्ष घोषित किया?,669,समाचार और विश्व रिपोर्ट,hindi
"जोन बी। नोट्रे डेम विश्वविद्यालय में अंतर्राष्ट्रीय शांति अध्ययन के लिए क्रोक संस्थान अनुसंधान, शिक्षा और हिंसक संघर्ष और सतत शांति के लिए स्थितियों के कारणों पर अनुसंधान, शिक्षा और आउटरीच को समर्पित है। यह शांति अध्ययन में पीएचडी, मास्टर, और स्नातक की डिग्री प्रदान करता है। इसकी स्थापना 1986 में जोन बी के दान के माध्यम से हुई थी। क्रोक, मैकडॉनल्ड्स के मालिक रे क्रोक की विधवा। संस्थान रेव की दृष्टि से प्रेरित था। थियोडोर एम। हेसबर्ग सीएससी, नोट्रे डेम विश्वविद्यालय के राष्ट्रपति एमेरिटस। संस्थान ने शांति निर्माण प्रथाओं के बारे में अंतर्राष्ट्रीय नीति चर्चा में योगदान दिया है।",किसके लिए जॉन बी था। क्रोक ने शादी की?,363,रे क्रोक,hindi
"जोन बी। नोट्रे डेम विश्वविद्यालय में अंतर्राष्ट्रीय शांति अध्ययन के लिए क्रोक संस्थान अनुसंधान, शिक्षा और हिंसक संघर्ष और सतत शांति के लिए स्थितियों के कारणों पर अनुसंधान, शिक्षा और आउटरीच को समर्पित है। यह शांति अध्ययन में पीएचडी, मास्टर, और स्नातक की डिग्री प्रदान करता है। इसकी स्थापना 1986 में जोन बी के दान के माध्यम से हुई थी। क्रोक, मैकडॉनल्ड्स के मालिक रे क्रोक की विधवा। संस्थान रेव की दृष्टि से प्रेरित था। थियोडोर एम। हेसबर्ग सीएससी, नोट्रे डेम विश्वविद्यालय के राष्ट्रपति एमेरिटस। संस्थान ने शांति निर्माण प्रथाओं के बारे में अंतर्राष्ट्रीय नीति चर्चा में योगदान दिया है।",किस कंपनी ने अपनी खुद की थी?,342,मैकडॉनल्ड्स,hindi
"नोट्रे डेम अपने प्रतिस्पर्धी प्रवेशों के लिए जाना जाता है, जिसमें गिरावट 2015 में आने वाली कक्षा नामांकन 2015 में 18,156 (19) के पूल से 3,577 है। 7%)। नामांकित वर्ग की अकादमिक प्रोफ़ाइल राष्ट्रीय अनुसंधान विश्वविद्यालयों के लिए देश में शीर्ष 10 से 15 के बीच दर जारी रखती है। विश्वविद्यालय एक गैर-प्रतिबंधात्मक प्रारंभिक कार्य नीति का अभ्यास करता है जो स्वीकार्य छात्रों को नोट्रे डेम के साथ-साथ किसी भी अन्य कॉलेज में प्रवेश करने की अनुमति देता है जिनके लिए उन्हें स्वीकार किया गया था। 3,577 में से 1,400 (39.1%) को प्रारंभिक कार्य योजना के तहत भर्ती कराया गया था। भर्ती छात्र 1,311 उच्च विद्यालयों से आए और औसत छात्र ने 750 मील से अधिक समय तक डेम की यात्रा की, जिससे यह संयुक्त राज्य अमेरिका में सबसे अधिक प्रतिनिधि विश्वविद्यालय हो गया। जबकि सभी छात्रों के अध्ययन के पहले वर्ष के कॉलेज में शुरू होते हैं, 25% ने संकेत दिया है कि वे लिबरल आर्ट्स या सोशल साइंसेज में अध्ययन करने की योजना बना रहे हैं, इंजीनियरिंग में 24%, व्यापार में 24%, विज्ञान में 24%, और 3%वास्तुकला।",2015 में गिरावट के कितने आने वाले छात्रों ने डेम को स्वीकार किया?,137,"3,577",hindi
"पिता जोसेफ कैरियर, सी। 1874 तक विज्ञान संग्रहालय और पुस्तकालय और रसायन विज्ञान और भौतिकी के प्रोफेसर के निदेशक थे। वाहक ने सिखाया कि वैज्ञानिक अनुसंधान और प्रगति के लिए इसका वादा चर्च द्वारा अनुमोदित बौद्धिक और नैतिक संस्कृति के आदर्शों के प्रति विरोध नहीं था। वाहक के छात्रों में से एक पिता जॉन ऑगस्टीन ज़ाहम (1851-1921) था जिसे 23 साल की उम्र में विज्ञान विभाग के प्रोफेसर और सह-निदेशक बनाया गया था और 1900 एक राष्ट्रीय स्तर पर प्रमुख वैज्ञानिक और प्रकृतिवादी थे। ज़ाहम कैथोलिक ग्रीष्मकालीन स्कूल आंदोलन में सक्रिय था, जिसने समकालीन बौद्धिक मुद्दों को कैथोलिक पुरस्कार पेश किया। उनकी पुस्तक विकास और डोगमा (18 9 6) ने विकासवादी सिद्धांत के कुछ पहलुओं को सच बताया, और तर्क दिया, इसके अलावा, यह भी कि महान चर्च शिक्षकों थॉमस एक्विनास और ऑगस्टीन ने कुछ ऐसा सिखाया। रोम में आयरिश अमेरिकन कैथोलिकों के हस्तक्षेप ने वेटिकन द्वारा ज़ाहम की सेंसर को रोक दिया। 1 9 13 में, ज़ाहम और पूर्व राष्ट्रपति थियोडोर रूजवेल्ट ने अमेज़ॅन के माध्यम से एक प्रमुख अभियान शुरू किया।",जॉन ऑगस्टीन ज़ाहम ने नोट्रे डेम में सह-निर्देशित करने के लिए क्या कार्यक्रम किया?,350,विज्ञान विभाग,hindi
"प्रदर्शनों में शाही और अन्य अंतिम संस्कार (अंतिम संस्कार का सैडल, हेनरी वी की ढाल और हेनरी वी की ढाल) का संग्रह शामिल है, जिसमें अन्य खजाने के साथ, मीडियावेल ग्लास के कुछ पैनल, 12 वीं शताब्दी की मूर्तिकला टुकड़ों, मैरी द्वितीय के कोरोनेशन कुर्सी और राजनीति की प्रतिकृतियां शामिल हैंएडवर्ड III, हेनरी VII और उनकी रानी, एलिजाबेथ ऑफ यॉर्क, चार्ल्स II, विलियम III, मैरी द्वितीय और रानी ऐनी के ऐतिहासिक effigies।",नोट्रे डेम के स्नातक छात्रों के लिए कितने छात्र आवास क्षेत्र आरक्षित हैं?,337,चार,hindi
"पार्टी के एजेंडे को बढ़ावा देना और प्रचारित करना। अल्पसंख्यक नेता का एक महत्वपूर्ण उद्देश्य विचारों और प्रस्तावों के निर्वाचन रूप से आकर्षक एजेंडा को विकसित करना है जो अपने घर के सदस्यों को एकजुट करता है और जो कोर चुनावी समर्थकों के साथ-साथ स्वतंत्रता और स्विंग मतदाताओं को सक्रिय और अपील करता है। अल्पसंख्यक नेता के घर के एजेंडे को स्थापित करने की प्रतिबंधित क्षमता के बावजूद, उनके लिए अल्पसंख्यक प्राथमिकताओं को बढ़ाने के लिए अभी भी अवसर हैं। उदाहरण के लिए, अल्पसंख्यक नेता अल्पसंख्यक प्राथमिकताओं को फर्श पर अल्पसंख्यक प्राथमिकताओं को आज़माने और लाने के लिए याचिकाओं का उपयोग करने के लिए नियोजित या धमकी दे सकते हैं। यदि वह बहुमत पार्टी समर्थकों को आकर्षित करके निर्वहन याचिका पर आवश्यक 218 हस्ताक्षरों को आकर्षित करने में सक्षम है, तो वह बहुमत के नेतृत्व के विपक्ष पर अल्पसंख्यक पहलों को फर्श पर मजबूर कर सकता है। एक साथ एक जीओपी अल्पसंख्यक नेता ने एक बार कहा, जिन चुनौतियों का सामना किया गया चुनौतियों का सामना करना पड़ता है ""हमारे लोगों को एक साथ रखें, और दूसरी तरफ मतों की तलाश करें।",कितने व्यक्तिगत कॉलेज नोट्रे डेम का हिस्सा हैं?,94,चार,hindi
"मूल अमेरिकी विरासत के लगभग 66,000 लोग मोंटाना में रहते हैं। भारतीय विनियमन अधिनियम (1851), द डेवस एक्ट (1887), और भारतीय पुनर्गठन अधिनियम (1934), सात भारतीय आरक्षण, ग्यारह जनजातीय देशों को शामिल करने वाले सात भारतीय आरक्षण सहित कई संधि और संघीय कानून से स्टेमिंग मोंटाना में बनाए गए थे। एक बारहवीं राष्ट्र, लिटिल शैल चिपेवा एक ""भूमिहीन"" लोगों का मुख्यालय ग्रेट फॉल्स में है, जो मोंटाना राज्य द्वारा मान्यता प्राप्त है, लेकिन यू द्वारा नहीं। सरकार। ब्लैकफेट राष्ट्र का मुख्यालय ब्राउनिंग में ब्राउनिंग में भारतीय आरक्षण (1851) पर है, कौवा एजेंसी में कौवा भारतीय आरक्षण (1851) पर कौवा, उत्तरी भारतीय आरक्षण (1855) पर पब्लो, उत्तरी में फ्लैटहेड भारतीय आरक्षण (1855) पर पेंड डी'ऑरेलउत्तरी चेयेने भारतीय आरक्षण (1884) पर चेयेने (1884) फोर्ट बेलनाप एजेंसी (1888) में फोर्ट सर्वोच्च भारतीय आरक्षण (1888) में फोर्ट पेक इंडियन आरक्षण (1888) पर फोर्ट पेक इंडियन आरक्षण (1888) पर पोप्लार में, और चिप्पेवा परबॉक्स एल्डर के पास चट्टानी लड़के के भारतीय आरक्षण (1 9 16) पर क्री। ग्रेट फॉल्स में शहरी भारतीयों की सबसे बड़ी एकाग्रता के साथ बड़े मोंटाना शहरों में केंद्रित सभी मूल निवासी लोगों का लगभग 63% हिस्सा आरक्षण से बाहर रहते हैं। राज्य में एक छोटी सी मेटिस आबादी भी है, और 1990 की जनगणना आंकड़ों से संकेत मिलता है कि 275 अलग-अलग जनजातियों के लोगों ने मोंटाना में रहते हैं।",किस वर्ष में डेम फुटबॉल शुरू हुआ?,104,1887,hindi
